token_type,token_address,receiver,amount
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x089775364ea24957da94348cf740375826ed3330,54.36
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x5442455f81ada56d44013ebc578b2ebee93697be,134.79
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x3ba3e60875becf48efc6ef3e9e3d05f102ec329a,125622.99
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xac1513a6c4c3e74cb0c1f77c8cbbbf22a2400e33,398120.2
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xa78d59f05acf567e60f70b8bdae5c88825c5b3c1,214.98
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x555f9daad28487cee43cd226b9a2f33d57c98964,2213.55
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x62a2e88e0e35b7d694d03ada42122c1e9ad7e1b5,12349.52
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x6e9439a97bde6f23655e31bee01d430313c684a9,21.58
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x93b6f2f5ac91596efec805accae0c04c00fe8882,78.64
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xb9542f9e7ab332346c818483bb8f3292a0653ab7,1562.46
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x87029960cb6d1011289d35bc8944d37b88c46b72,10280.15
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x05928b30cdadf923980ad00655f89349d08751fd,17.94
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x9b9a63cff3d7c5fd7c805ee88b0abd24b134b765,0.51
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x45b16cc60331f7aa5f3c86101ea36eb0db367f95,3206.89
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x75b1f060be9ea50b2181a00dee0d43fdfc13b834,4646.52
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xfb557263280b0b270a0031400d45eb722f7fe232,125.02
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xb4633912c7374cd94d8917a167449e23b46d0ad1,1.15
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x13dcd82f8b7aeb3e22f1ed1eb724f18e15192f10,13.87
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x62c1a798fe63e5e28c6a62af34be0101644ba21a,10.81
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x6f9769d24e7266911d8704aa8185eb50a9d43e25,11.16
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x156addeb51e43e795b5796f6b8a5068ec1734b95,20.86
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xfefe8736b8debeb1592dac993c81e002af8c34e9,42479.66
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x8ed1d42f026da942b6c31238ff9a7eb03f99451e,5840.95
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x35da61143072716e9ca1dc688e9b04145314e8d1,316.43
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xbb88588215c74210449f907ba48380330bdaee7e,26414.83
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x7e295c18fca9de63cf965cfcd3223909e1dba6af,461.48
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xfb9186421c34d2086595855ba8951c1257dac22d,12.21
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x1d9d1a83c956c90b9731d04ad04ee14333d2f8bf,387.26
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xbc95c359d40bd187e9c5ecb3ca8ba9508b4e4685,31.63
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x7affda8e8e9c27495cef92e3843e7a1bbe0b6b13,2376.41
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x864d69e84bcbf88dc63c0333501b1db5d3fdbf28,944.48
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xc9ee1d5e3327fc3ee8122ea69d9f9f66e35a889e,87.12
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x6ed0e62b01c345762eb4246e29ecd4517d9bd645,60576.57
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x598d03a9020bfbabbdae1f975088afd3928a80a5,14.14
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xf642d27162fc33f4f4a89e1335e78c03b678803d,5.69
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x8f3bad7689e6c9bccd60a493079dad8f5189e4de,714.74
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x83d048b52a0494a01a431637a6dbdc59d5543521,763.32
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x929a2c1a29ab835e56fd02b51566165ecb2993ba,4.7
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xc938421f4f283ab7886f172413b3aba23988ae41,40.02
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xd83b065e0528922257c5c3b18d08d0f81e42bbcf,1883.18
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0xbb53599c13ab439c4853a162c1468c5aa52f7624,2076.63
erc20,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,0x8a5d7f1d189c86397b134389218bbfa8b7b0b958,971.01
